mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
22.02229952812195,1.097959298652373,0.2907361189524333,0.020128497166955424,0.6,10,4,0.03,0.2,0.6,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0.2, 'colsample_bytree': 0.6}",-46.29313975793105,-44.118657235661,-53.44782063975752,-47.953205877783184,3.985405633624945,20
23.430965105692547,0.4011578363254967,0.20089117685953775,0.009233252263721155,0.8,3,3,0.01,0.2,0.8,"{'subsample': 0.8, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.8}",-51.88307227382469,-47.79185402901525,-57.386044077701804,-52.35365679351391,3.930920843365448,28
24.99087079366048,0.581130952683134,0.26566235224405926,0.011482979094649489,0.6,3,4,0.01,0.0,1.0,"{'subsample': 0.6, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 1.0}",-49.09255822652904,-46.03276913844059,-55.78954977968708,-50.304959048218905,4.074402118485299,25
27.04164759318034,2.3820014353843075,0.33923975626627606,0.008774007481590618,0.8,1,6,0.02,0.1,0.8,"{'subsample': 0.8, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 0.8}",-45.01193403320788,-43.178161077872225,-52.41594333059004,-46.868679480556715,3.993309653186191,9
30.32522638638814,0.7953763654399157,0.5242230892181396,0.01909319685005171,1.0,1,8,0.02,0.1,0.6,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 0.6}",-44.52742355741037,-42.43693217151834,-51.77178724761609,-46.2453809921816,3.9998677589558107,1
19.14807438850403,1.0250352496411506,0.2737449010213216,0.023493343931320788,1.0,1,5,0.03,0.0,1.0,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.0, 'colsample_bytree': 1.0}",-45.60728623561746,-44.17322585140461,-53.204047460850916,-47.66151984929099,3.9626457104709116,17
22.72727640469869,0.761758245009433,0.35375428199768066,0.055624695207093726,0.8,3,6,0.01,0.1,0.8,"{'subsample': 0.8, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}",-46.618505101894996,-44.13166641669638,-53.3814955501958,-48.04388902292906,3.908420332350013,21
14.27304744720459,0.5568334502754471,0.2143742243448893,0.06489861996577295,1.0,10,3,0.01,0.1,0.6,"{'subsample': 1.0, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.6}",-52.34457130487687,-47.92327385637175,-57.533732927772036,-52.60052602967355,3.927625704046005,30
19.758907636006672,0.6707149256366219,0.2662242253621419,0.052314465309829694,0.8,3,6,0.05,0.2,0.8,"{'subsample': 0.8, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.8}",-44.45261967759749,-42.332058342739245,-52.10710270052816,-46.2972602402883,4.198404232826913,2
14.420107762018839,0.33331595944074716,0.1320208708445231,0.0024888984420547355,1.0,3,3,0.01,0.1,0.8,"{'subsample': 1.0, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}",-52.13582502334736,-47.859642148748925,-57.54205883985903,-52.512508670651776,3.961793884314008,29
